run_id,direct_invocation_ms,success,error_message,timestamp,http_status_code
1,19.290844997158274,True,,2026-06-05T14:31:53.157369,200
2,12.872818988398649,True,,2026-06-05T14:31:53.677400,200
3,11.082249999162741,True,,2026-06-05T14:31:54.191064,200
4,11.297304998151958,True,,2026-06-05T14:31:54.702940,200
5,11.315433992422186,True,,2026-06-05T14:31:55.215028,200
6,11.382144992239773,True,,2026-06-05T14:31:55.727126,200
7,11.88282499788329,True,,2026-06-05T14:31:56.239279,200
8,22.43399499275256,True,,2026-06-05T14:31:56.751945,200
9,12.910991004901007,True,,2026-06-05T14:31:57.275164,200
10,15.857507998589426,True,,2026-06-05T14:31:57.788844,200
11,11.560279002878815,True,,2026-06-05T14:31:58.305486,200
12,19.669100001920015,True,,2026-06-05T14:31:58.817825,200
13,10.988338995957747,True,,2026-06-05T14:31:59.338260,200
14,21.496599991223775,True,,2026-06-05T14:31:59.850026,200
15,11.023521001334302,True,,2026-06-05T14:32:00.372287,200
16,10.738184995716438,True,,2026-06-05T14:32:00.884090,200
17,13.870366994524375,True,,2026-06-05T14:32:01.395612,200
18,12.303210998652503,True,,2026-06-05T14:32:01.910288,200
19,11.601928999880329,True,,2026-06-05T14:32:02.423380,200
20,10.740455007180572,True,,2026-06-05T14:32:02.935747,200
21,13.076162998913787,True,,2026-06-05T14:32:03.446817,200
22,14.764680003281683,True,,2026-06-05T14:32:03.960687,200
23,13.295627009938471,True,,2026-06-05T14:32:04.476229,200
24,12.367082003038377,True,,2026-06-05T14:32:04.990314,200
25,12.379751991829835,True,,2026-06-05T14:32:05.503417,200
26,11.776070998166688,True,,2026-06-05T14:32:06.016590,200
27,14.034619991434738,True,,2026-06-05T14:32:06.529133,200
28,11.329544999171048,True,,2026-06-05T14:32:07.043939,200
29,12.381542997900397,True,,2026-06-05T14:32:07.556012,200
30,13.346808002097532,True,,2026-06-05T14:32:08.069131,200
