run_id,onboarding_ms,discovery_ms,security_context_ms,token_acquisition_ms,protected_invocation_ms,total_ms,success,error_message,timestamp,invoker_id,service_api_id,token_metadata
1,1120.6748620024882,16.051078398595564,6.879033599398099,197.90307100629434,71.68009800079744,1413.1881430075737,True,,2026-06-05T14:17:32.131522,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
2,762.1633270027814,19.850327003223356,8.507283001381438,175.9521319909254,12.066722003510222,978.5397910018219,True,,2026-06-05T14:17:35.572196,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
3,816.138295995188,53.75689830689225,23.038670702953823,322.3200960055692,11.675985995680094,1226.9299470062833,True,,2026-06-05T14:17:38.575949,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
4,833.51654499711,16.33475200360408,7.000608001544606,168.6207269958686,12.0849810045911,1037.5576130027184,True,,2026-06-05T14:17:41.828218,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
5,792.3884850024479,14.960602995415682,6.411686998035293,151.39996400102973,11.974831009865738,977.1355700067943,True,,2026-06-05T14:17:44.891771,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
6,693.523035995895,16.22860259230947,6.955115396704059,186.7120360111585,20.135489001404494,923.5542789974716,True,,2026-06-05T14:17:47.892729,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
7,1069.5447220059577,17.141101609740872,7.346186404174659,171.65045699221082,11.147819008328952,1276.830286020413,True,,2026-06-05T14:17:50.847682,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
8,650.8860739995725,16.61827789648669,7.122119098494295,169.92682999989484,11.426112003391609,855.97941299784,True,,2026-06-05T14:17:54.152772,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
9,741.0915709915571,18.204944804892875,7.8021192020969465,177.42531999829225,11.983320000581443,956.5072749974206,True,,2026-06-05T14:17:57.033465,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
10,755.6122429959942,15.894690698769407,6.812010299472604,189.99060000351164,10.786762009956874,979.0963060077047,True,,2026-06-05T14:18:00.016175,,,"{'length': 899, 'prefix': 'eyJhbGciOiJSUzI1NiIs...'}"
