run_id,direct_invocation_ms,success,error_message,timestamp,http_status_code
1,36.85392998158932,True,,2026-06-08T13:05:27.810013,200
2,15.440325951203704,True,,2026-06-08T13:05:28.347621,200
3,12.735961005091667,True,,2026-06-08T13:05:28.863846,200
4,13.034705014433712,True,,2026-06-08T13:05:29.377371,200
5,16.431781987193972,True,,2026-06-08T13:05:29.891182,200
6,13.706198951695114,True,,2026-06-08T13:05:30.408419,200
7,14.112202974501997,True,,2026-06-08T13:05:30.922901,200
8,15.34948404878378,True,,2026-06-08T13:05:31.437769,200
9,14.405738038476557,True,,2026-06-08T13:05:31.953851,200
10,13.279639999382198,True,,2026-06-08T13:05:32.469032,200
11,13.552332995459437,True,,2026-06-08T13:05:32.983069,200
12,13.367752020712942,True,,2026-06-08T13:05:33.497360,200
13,13.600794016383588,True,,2026-06-08T13:05:34.011500,200
14,22.796967008616775,True,,2026-06-08T13:05:34.525871,200
15,15.37037396337837,True,,2026-06-08T13:05:35.049415,200
16,12.437445984687656,True,,2026-06-08T13:05:35.565568,200
17,12.570717954076827,True,,2026-06-08T13:05:36.078780,200
18,13.663015968631953,True,,2026-06-08T13:05:36.592102,200
19,12.408715963829309,True,,2026-06-08T13:05:37.106543,200
20,12.66705000307411,True,,2026-06-08T13:05:37.619773,200
21,12.888053024653345,True,,2026-06-08T13:05:38.133220,200
22,12.549357954412699,True,,2026-06-08T13:05:38.646879,200
23,12.385014968458563,True,,2026-06-08T13:05:39.160194,200
24,15.62750997254625,True,,2026-06-08T13:05:39.673358,200
25,13.789577991701663,True,,2026-06-08T13:05:40.189778,200
26,12.73315103026107,True,,2026-06-08T13:05:40.704341,200
27,12.6556699979119,True,,2026-06-08T13:05:41.217836,200
28,15.694439003709704,True,,2026-06-08T13:05:41.731215,200
29,15.4175860225223,True,,2026-06-08T13:05:42.247689,200
30,17.00970099773258,True,,2026-06-08T13:05:42.763867,200
